"","Date","Open","High","Low","Close","Volume","Market.Cap"
"1",NA,191.85,169.76,190.94,NA,2771380000,NA
"2",NA,195.39,156.53,180.14,NA,2627490000,NA
"3",NA,214.28,165.33,168.15,NA,3142680000,NA
"4",NA,203.21,173.17,203.21,NA,2701720000,NA
"5",NA,173.39,159.95,173.39,NA,2509520000,NA
"6",NA,168.72,159.76,163.37,NA,2595920000,NA
"7",NA,170.1,160,168.44,NA,2463190000,NA
"8",NA,162.94,156.76,160.03,NA,2441330000,NA
"9",NA,172.92,156.45,158.61,NA,2555950000,NA
"10",NA,173.45,141.14,165.95,NA,2184930000,NA
"11",NA,142.21,131.37,141.74,NA,2093010000,NA
"12",NA,140.55,128.49,135.76,NA,1990900000,NA
"13",NA,133.62,127.21,129.48,NA,2009180000,NA
"14",NA,135.01,123.53,130.8,NA,1945200000,NA
"15",NA,126.7,119.25,126.7,NA,1843600000,NA
"16",NA,128.09,118.5,120.31,NA,1861940000,NA
"17",NA,124.72,119.19,121.37,NA,1876740000,NA
"18",NA,124.2,118.63,122.35,NA,1896990000,NA
"19",NA,136.53,120.92,123.4,NA,1978840000,NA
"20",NA,133.68,110.62,123.86,NA,1834630000,NA
"21",NA,127.11,103.88,119.62,NA,1621800000,NA
"22",NA,121.67,101.76,105.59,NA,1860390000,NA
"23",NA,123.41,112.22,120.78,NA,1724820000,NA
"24",NA,115.94,99.14,113.31,NA,1529550000,NA
"25",NA,104.75,95.05,99.76,NA,1596750000,NA
"26",NA,102.92,86.15,102.92,NA,1323540000,NA
"27",NA,88.04,86.04,86.35,NA,1336790000,NA
"28",NA,88.48,85.5,87.3,NA,1345360000,NA
"29",NA,90.14,83.53,87.99,NA,1278080000,NA
"30",NA,86.08,81.68,83.76,NA,1310390000,NA
"31",NA,88.2,84.73,85.72,NA,1340360000,NA
"32",NA,89.33,87.6,87.64,NA,1356840000,NA
"33",NA,90.49,88.04,88.84,NA,1354090000,NA
"34",NA,90.36,86.27,88.65,NA,1318160000,NA
"35",NA,87.76,85.71,86.31,NA,1327650000,NA
"36",NA,89.19,86.43,86.75,NA,1352700000,NA
"37",NA,89.87,88.02,88.58,NA,1346070000,NA
"38",NA,101.29,85.82,88.13,NA,1350650000,NA
"39",NA,92.35,83.47,88.4,NA,1299330000,NA
"40",NA,86.92,82.89,85.21,NA,1319200000,NA
"41",NA,89.04,85.52,86.58,NA,1344760000,NA
"42",NA,90.41,86.58,88.12,NA,1378290000,NA
"43",NA,92.73,88.07,90.54,NA,1351990000,NA
"44",NA,92.48,87.91,88.62,NA,1366060000,NA
"45",NA,91.26,86.54,89.54,NA,1389050000,NA
"46",NA,96.94,90.72,91.28,NA,1460870000,NA
"47",NA,97.97,93.05,95.9,NA,1446090000,NA
"48",NA,100.81,91.6,94.87,NA,1520300000,NA
"49",NA,103.13,93.73,100.23,NA,1446050000,NA
"50",NA,96.77,85.53,95.13,NA,1326720000,NA
"51",NA,88.63,86.46,87.09,NA,1331450000,NA
"52",NA,88.25,85.8,87.42,NA,1318540000,NA
"53",NA,88.41,84.27,86.82,NA,1301030000,NA
"54",NA,90.12,83.76,85.49,NA,1363380000,NA
"55",NA,92.2,89.74,89.77,NA,1388030000,NA
"56",NA,92.05,89.57,91.7,NA,1380750000,NA
"57",NA,92.94,90.23,91.19,NA,1394580000,NA
"58",NA,92.45,88.14,91.86,NA,1373110000,NA
"59",NA,93.65,89.05,90.41,NA,1.41e+09,NA
"60",NA,94.81,87.21,92.96,NA,1387960000,NA
"61",NA,93.8,90.98,91.54,NA,1418400000,NA
"62",NA,95.74,91.77,93.22,NA,1448800000,NA
"63",NA,96.33,94.07,95.76,NA,1430900000,NA
"64",NA,97.78,91.22,94.5,NA,1473750000,NA
"65",NA,101.14,95.48,97.23,NA,1528970000,NA
"66",NA,102.91,92.64,101.04,NA,1404030000,NA
"67",NA,95.31,91.6,93.13,NA,1419730000,NA
"68",NA,94.23,89.12,93.64,NA,1352120000,NA
"69",NA,91.81,88,89.5,NA,1387760000,NA
"70",NA,92.12,86.96,91.85,NA,1329730000,NA
"71",NA,89.54,84.33,88.17,NA,1301560000,NA
"72",NA,95.75,85.17,86.24,NA,1439880000,NA
"73",NA,98.09,93.37,95.57,NA,1474840000,NA
"74",NA,101.28,93.7,97.72,NA,1522630000,NA
"75",NA,102.02,93.81,100.57,NA,1416250000,NA
"76",NA,96.36,89.22,93.74,NA,1433270000,NA
"77",NA,106.12,91.41,95.29,NA,1510430000,NA
"78",NA,103.69,73.17,99.85,NA,1253940000,NA
"79",NA,120.39,82.65,83.04,NA,1678110000,NA
"80",NA,113.16,102.39,111.33,NA,1685390000,NA
"81",NA,115.69,110.49,111.89,NA,1698640000,NA
"82",NA,116.24,110.47,112.75,NA,1702970000,NA
"83",NA,115.77,103.17,112.33,NA,1741490000,NA
"84",NA,119.73,113.17,116.27,NA,1779350000,NA
"85",NA,132.57,113.3,118.04,NA,1810210000,NA
"86",NA,124.76,116.6,120.84,NA,1826360000,NA
"87",NA,122.31,114.32,121.63,NA,1786650000,NA
"88",NA,122.63,95.81,118.82,NA,1605070000,NA
"89",NA,126.23,101.73,106.17,NA,1897480000,NA
"90",NA,129.29,115.74,126.01,NA,1877380000,NA
"91",NA,141.4,121.96,124.8,NA,2123430000,NA
"92",NA,150.09,136.49,141.2,NA,2112260000,NA
"93",NA,141.97,131.21,140.41,NA,1980860000,NA
"94",NA,135.83,124.06,132.38,NA,2008790000,NA
"95",NA,144.5,128.02,133.03,NA,2163850000,NA
"96",NA,154.58,129.06,145.4,NA,1961250000,NA
"97",NA,138.88,124.81,130.68,NA,2057550000,NA
"98",NA,148.36,105.28,138.05,NA,1606920000,NA
"99",NA,108.36,85.34,108.26,NA,1293030000,NA
"100",NA,93.77,79.35,86.29,NA,1351030000,NA
"101",NA,99.71,85.51,90.33,NA,1360920000,NA
"102",NA,95.51,72.53,91.16,NA,1166240000,NA
"103",NA,95.08,52.87,77.82,NA,817490000,NA
"104",NA,56.05,51.8,54.71,NA,834239000,NA
"105",NA,58.03,46.97,55.96,NA,702398000,NA
"106",NA,48.93,46.22,46.69,NA,708081000,NA
"107",NA,49.46,47.05,47.45,NA,729528000,NA
"108",NA,49.09,47.03,48.78,NA,728672000,NA
"109",NA,50.16,45.72,48.74,NA,746257000,NA
"110",NA,49.75,46.63,49.75,NA,711941000,NA
"111",NA,50.15,45.46,47.76,NA,737066000,NA
"112",NA,51.57,46.34,49.37,NA,758739000,NA
"113",NA,51.56,48.93,50.65,NA,735446000,NA
"114",NA,51.29,49.47,49.47,NA,759514000,NA
"115",NA,53.34,49.74,50.96,NA,774178000,NA
"116",NA,52.64,49.93,51.94,NA,750929000,NA
"117",NA,50.21,47.24,50.21,NA,710052000,NA
"118",NA,49.18,47.36,47.83,NA,723258000,NA
"119",NA,49.49,45.18,48.58,NA,672541000,NA
"120",NA,45.32,42.97,45.12,NA,645208000,NA
"121",NA,44.31,43.23,43.36,NA,651543000,NA
"122",NA,44.78,42.78,43.63,NA,655515000,NA
"123",NA,45.04,39.81,44.15,NA,592886000,NA
"124",NA,40.68,38.94,39.84,NA,589540000,NA
"125",NA,43.95,39.55,39.62,NA,652927000,NA
"126",NA,44.37,42.19,43.89,NA,648884000,NA
"127",NA,45.79,42.74,43.96,NA,672368000,NA
"128",NA,46.74,43.93,45.24,NA,681502000,NA
"129",NA,46.44,38.6,45.8,NA,604269000,NA
"130",NA,45.84,38.24,40.68,NA,675620000,NA
"131",NA,45.76,41.86,45.58,NA,632493000,NA
"132",NA,44.78,41.44,42.67,NA,661581000,NA
"133",NA,44.76,40.15,44.71,NA,596297000,NA
"134",NA,41.43,39.53,40.34,NA,600573000,NA
