"","Date","Open","High","Low","Close","Volume","Market.Cap"
"1",NA,12.73,10.2,12.66,NA,993753000,NA
"2",NA,10.38,9.82,10.24,NA,996639000,NA
"3",NA,10.67,10.25,10.26,NA,1028310000,NA
"4",NA,10.94,10.62,10.62,NA,1053730000,NA
"5",NA,10.97,10.8,10.87,NA,1050600000,NA
"6",NA,11.2,10.59,10.86,NA,1026380000,NA
"7",NA,10.68,10.29,10.55,NA,1007430000,NA
"8",NA,10.56,10.32,10.38,NA,1015860000,NA
"9",NA,10.72,10.46,10.5,NA,1028580000,NA
"10",NA,10.75,10.3,10.63,NA,1024260000,NA
"11",NA,10.99,10,10.6,NA,994988000,NA
"12",NA,10.82,9.97,10.28,NA,1046200000,NA
"13",NA,11.25,10.72,10.83,NA,1057170000,NA
"14",NA,11.31,10.79,10.92,NA,1083120000,NA
"15",NA,11.51,11.22,11.22,NA,1097270000,NA
"16",NA,11.61,11.29,11.34,NA,1112650000,NA
"17",NA,11.92,10.81,11.53,NA,1151010000,NA
"18",NA,12.47,11.74,11.92,NA,1148970000,NA
"19",NA,12.1,11.83,11.89,NA,1153060000,NA
"20",NA,12.66,11.6,11.95,NA,1180820000,NA
"21",NA,12.54,12.06,12.26,NA,1176620000,NA
"22",NA,12.47,11.66,12.18,NA,1157100000,NA
"23",NA,12.09,11.41,11.96,NA,1109090000,NA
"24",NA,11.59,11.41,11.49,NA,1112470000,NA
"25",NA,11.66,11.35,11.54,NA,1107010000,NA
"26",NA,12.13,11.24,11.5,NA,1166960000,NA
"27",NA,12.45,12.1,12.12,NA,1181440000,NA
"28",NA,12.32,12.09,12.28,NA,1185190000,NA
"29",NA,12.4,11.94,12.34,NA,1148890000,NA
"30",NA,12.05,11.62,11.95,NA,1150570000,NA
"31",NA,12.4,11.95,11.97,NA,1190230000,NA
"32",NA,12.49,11.77,12.41,NA,1198270000,NA
"33",NA,12.87,12.38,12.44,NA,1223910000,NA
"34",NA,13.01,12.63,12.74,NA,1246600000,NA
"35",NA,13.15,12.51,12.98,NA,1200620000,NA
"36",NA,13.25,12.04,12.52,NA,1225220000,NA
"37",NA,13.68,12.27,12.73,NA,1211380000,NA
"38",NA,12.86,11.2,12.65,NA,1077120000,NA
"39",NA,11.96,10.71,11.24,NA,1041640000,NA
"40",NA,10.98,10.41,10.86,NA,997582000,NA
"41",NA,10.71,10.35,10.44,NA,1016090000,NA
"42",NA,10.77,10.12,10.61,NA,978077000,NA
"43",NA,10.53,9.93,10.26,NA,9.67e+08,NA
"44",NA,11.24,10.02,10.07,NA,1072660000,NA
"45",NA,11.56,11.18,11.25,NA,1094120000,NA
