"","Date","Open","High","Low","Close","Volume","Market.Cap"
"1",NA,88.48,85.5,87.3,NA,1345360000,NA
"2",NA,90.14,83.53,87.99,NA,1278080000,NA
"3",NA,86.08,81.68,83.76,NA,1310390000,NA
"4",NA,88.2,84.73,85.72,NA,1340360000,NA
"5",NA,89.33,87.6,87.64,NA,1356840000,NA
"6",NA,90.49,88.04,88.84,NA,1354090000,NA
"7",NA,90.36,86.27,88.65,NA,1318160000,NA
"8",NA,87.76,85.71,86.31,NA,1327650000,NA
"9",NA,89.19,86.43,86.75,NA,1352700000,NA
"10",NA,89.87,88.02,88.58,NA,1346070000,NA
"11",NA,101.29,85.82,88.13,NA,1350650000,NA
"12",NA,92.35,83.47,88.4,NA,1299330000,NA
"13",NA,86.92,82.89,85.21,NA,1319200000,NA
"14",NA,89.04,85.52,86.58,NA,1344760000,NA
"15",NA,90.41,86.58,88.12,NA,1378290000,NA
"16",NA,92.73,88.07,90.54,NA,1351990000,NA
"17",NA,92.48,87.91,88.62,NA,1366060000,NA
"18",NA,91.26,86.54,89.54,NA,1389050000,NA
"19",NA,96.94,90.72,91.28,NA,1460870000,NA
"20",NA,97.97,93.05,95.9,NA,1446090000,NA
"21",NA,100.81,91.6,94.87,NA,1520300000,NA
"22",NA,103.13,93.73,100.23,NA,1446050000,NA
"23",NA,96.77,85.53,95.13,NA,1326720000,NA
"24",NA,88.63,86.46,87.09,NA,1331450000,NA
"25",NA,88.25,85.8,87.42,NA,1318540000,NA
"26",NA,88.41,84.27,86.82,NA,1301030000,NA
"27",NA,90.12,83.76,85.49,NA,1363380000,NA
"28",NA,92.2,89.74,89.77,NA,1388030000,NA
"29",NA,92.05,89.57,91.7,NA,1380750000,NA
"30",NA,92.94,90.23,91.19,NA,1394580000,NA
"31",NA,92.45,88.14,91.86,NA,1373110000,NA
"32",NA,93.65,89.05,90.41,NA,1.41e+09,NA
"33",NA,94.81,87.21,92.96,NA,1387960000,NA
"34",NA,93.8,90.98,91.54,NA,1418400000,NA
"35",NA,95.74,91.77,93.22,NA,1448800000,NA
"36",NA,96.33,94.07,95.76,NA,1430900000,NA
"37",NA,97.78,91.22,94.5,NA,1473750000,NA
"38",NA,101.14,95.48,97.23,NA,1528970000,NA
"39",NA,102.91,92.64,101.04,NA,1404030000,NA
"40",NA,95.31,91.6,93.13,NA,1419730000,NA
"41",NA,94.23,89.12,93.64,NA,1352120000,NA
"42",NA,91.81,88,89.5,NA,1387760000,NA
"43",NA,92.12,86.96,91.85,NA,1329730000,NA
"44",NA,89.54,84.33,88.17,NA,1301560000,NA
"45",NA,95.75,85.17,86.24,NA,1439880000,NA
"46",NA,98.09,93.37,95.57,NA,1474840000,NA
"47",NA,101.28,93.7,97.72,NA,1522630000,NA
"48",NA,102.02,93.81,100.57,NA,1416250000,NA
"49",NA,96.36,89.22,93.74,NA,1433270000,NA
"50",NA,106.12,91.41,95.29,NA,1510430000,NA
"51",NA,103.69,73.17,99.85,NA,1253940000,NA
"52",NA,120.39,82.65,83.04,NA,1678110000,NA
"53",NA,113.16,102.39,111.33,NA,1685390000,NA
"54",NA,115.69,110.49,111.89,NA,1698640000,NA
"55",NA,116.24,110.47,112.75,NA,1702970000,NA
"56",NA,115.77,103.17,112.33,NA,1741490000,NA
"57",NA,119.73,113.17,116.27,NA,1779350000,NA
"58",NA,132.57,113.3,118.04,NA,1810210000,NA
"59",NA,124.76,116.6,120.84,NA,1826360000,NA
"60",NA,122.31,114.32,121.63,NA,1786650000,NA
"61",NA,122.63,95.81,118.82,NA,1605070000,NA
"62",NA,126.23,101.73,106.17,NA,1897480000,NA
"63",NA,129.29,115.74,126.01,NA,1877380000,NA
"64",NA,141.4,121.96,124.8,NA,2123430000,NA
"65",NA,150.09,136.49,141.2,NA,2112260000,NA
"66",NA,141.97,131.21,140.41,NA,1980860000,NA
"67",NA,135.83,124.06,132.38,NA,2008790000,NA
"68",NA,144.5,128.02,133.03,NA,2163850000,NA
"69",NA,154.58,129.06,145.4,NA,1961250000,NA
"70",NA,138.88,124.81,130.68,NA,2057550000,NA
"71",NA,148.36,105.28,138.05,NA,1606920000,NA
"72",NA,108.36,85.34,108.26,NA,1293030000,NA
"73",NA,93.77,79.35,86.29,NA,1351030000,NA
"74",NA,99.71,85.51,90.33,NA,1360920000,NA
"75",NA,95.51,72.53,91.16,NA,1166240000,NA
"76",NA,95.08,52.87,77.82,NA,817490000,NA
"77",NA,56.05,51.8,54.71,NA,834239000,NA
"78",NA,58.03,46.97,55.96,NA,702398000,NA
"79",NA,48.93,46.22,46.69,NA,708081000,NA
"80",NA,49.46,47.05,47.45,NA,729528000,NA
"81",NA,49.09,47.03,48.78,NA,728672000,NA
"82",NA,50.16,45.72,48.74,NA,746257000,NA
"83",NA,49.75,46.63,49.75,NA,711941000,NA
"84",NA,50.15,45.46,47.76,NA,737066000,NA
"85",NA,51.57,46.34,49.37,NA,758739000,NA
"86",NA,51.56,48.93,50.65,NA,735446000,NA
"87",NA,51.29,49.47,49.47,NA,759514000,NA
"88",NA,53.34,49.74,50.96,NA,774178000,NA
"89",NA,52.64,49.93,51.94,NA,750929000,NA
"90",NA,50.21,47.24,50.21,NA,710052000,NA
"91",NA,49.18,47.36,47.83,NA,723258000,NA
"92",NA,49.49,45.18,48.58,NA,672541000,NA
"93",NA,45.32,42.97,45.12,NA,645208000,NA
"94",NA,44.31,43.23,43.36,NA,651543000,NA
"95",NA,44.78,42.78,43.63,NA,655515000,NA
"96",NA,45.04,39.81,44.15,NA,592886000,NA
"97",NA,40.68,38.94,39.84,NA,589540000,NA
"98",NA,43.95,39.55,39.62,NA,652927000,NA
"99",NA,44.37,42.19,43.89,NA,648884000,NA
"100",NA,45.79,42.74,43.96,NA,672368000,NA
"101",NA,46.74,43.93,45.24,NA,681502000,NA
"102",NA,46.44,38.6,45.8,NA,604269000,NA
"103",NA,45.84,38.24,40.68,NA,675620000,NA
"104",NA,45.76,41.86,45.58,NA,632493000,NA
"105",NA,44.78,41.44,42.67,NA,661581000,NA
"106",NA,44.76,40.15,44.71,NA,596297000,NA
"107",NA,41.43,39.53,40.34,NA,600573000,NA
"108",NA,41.01,34.89,40.3,NA,516643000,NA
"109",NA,37.59,34.37,35.06,NA,539762000,NA
"110",NA,37.92,33.38,36.38,NA,516217000,NA
"111",NA,34.98,29.46,34.83,NA,435925000,NA
"112",NA,32.53,28.83,29.43,NA,472681000,NA
"113",NA,35.57,31.37,32.09,NA,525794000,NA
"114",NA,38.33,34.22,35.48,NA,562680000,NA
"115",NA,40.74,37.2,38.23,NA,597277000,NA
"116",NA,40.75,35.51,40.39,NA,544765000,NA
"117",NA,40.73,35.34,37.14,NA,594108000,NA
"118",NA,45.12,38.84,40.01,NA,662645000,NA
"119",NA,47,44.56,44.85,NA,688769000,NA
"120",NA,46.24,41.9,46.1,NA,651286000,NA
"121",NA,50.65,43.84,44.25,NA,738662000,NA
"122",NA,50.26,45.88,50.12,NA,677244000,NA
"123",NA,46.9,44.13,45.72,NA,667353000,NA
"124",NA,45.53,43.55,45.47,NA,641305000,NA
"125",NA,44.14,41.82,43.63,NA,625802000,NA
"126",NA,43,40.22,42.79,NA,602361000,NA
"127",NA,43.98,39.8,40.96,NA,642898000,NA
"128",NA,45.87,43.48,43.73,NA,663056000,NA
"129",NA,47.91,44.67,45.02,NA,691512000,NA
"130",NA,47.41,42.29,47.32,NA,643627000,NA
"131",NA,44.05,38.51,43.57,NA,638919000,NA
"132",NA,48.2,39.39,43.49,NA,674032000,NA
"133",NA,48.73,45.28,45.89,NA,702334000,NA
"134",NA,51.81,47.3,48.03,NA,754764000,NA
"135",NA,52.51,46.75,51.41,NA,696116000,NA
"136",NA,47.8,46.64,47.28,NA,686351000,NA
"137",NA,48.91,45.54,46.59,NA,706159000,NA
"138",NA,50.91,47.6,48.08,NA,718495000,NA
"139",NA,50.67,48.52,49.09,NA,726891000,NA
"140",NA,51.7,48.98,49.6,NA,739370000,NA
"141",NA,51.2,48.09,50.46,NA,705427000,NA
"142",NA,48.24,44.17,48.11,NA,672698000,NA
"143",NA,47.02,38.75,46.02,NA,676380000,NA
"144",NA,53.56,44.37,46.3,NA,760132000,NA
"145",NA,52.87,49.73,51.8,NA,727975000,NA
"146",NA,59.8,45.78,50.04,NA,863418000,NA
"147",NA,58.7,51.95,58.7,NA,764939000,NA
"148",NA,56.25,51.92,52.28,NA,811671000,NA
"149",NA,57.23,55.29,55.62,NA,819313000,NA
"150",NA,56.46,51.45,56.19,NA,771963000,NA
"151",NA,62.38,52.06,52.54,NA,806489000,NA
"152",NA,55.57,47.12,55.57,NA,705243000,NA
"153",NA,48.5,42.88,48.26,NA,625055000,NA
"154",NA,43.42,41.7,42.9,NA,616914000,NA
"155",NA,44.42,42.16,42.37,NA,640642000,NA
"156",NA,44.65,43,44,NA,636754000,NA
"157",NA,45.52,41.84,43.7,NA,608922000,NA
"158",NA,43.11,39.23,41.83,NA,579429000,NA
"159",NA,45.65,39.66,39.79,NA,600461000,NA
"160",NA,43.81,36.06,41.21,NA,534431000,NA
"161",NA,39.39,33.43,36.84,NA,485858000,NA
"162",NA,40.79,28.69,33.41,NA,562314000,NA
"163",NA,44.61,34.84,38.71,NA,578017000,NA
"164",NA,50.9,39.5,40.12,NA,660745000,NA
"165",NA,58.64,44.04,45.38,NA,817013000,NA
"166",NA,56.84,36.3,55.62,NA,526642000,NA
"167",NA,41.18,33.27,36.17,NA,504584000,NA
"168",NA,36.46,33.35,34.64,NA,507841000,NA
"169",NA,36.78,31.27,35.1,NA,460963000,NA
"170",NA,31.87,30.28,31.87,NA,439025000,NA
"171",NA,31.11,26.98,30.33,NA,390685000,NA
"172",NA,27.97,25.28,26.93,NA,381592000,NA
"173",NA,27.73,25.96,26.26,NA,401220000,NA
"174",NA,28.54,27.32,27.79,NA,412305000,NA
"175",NA,29.16,27.79,28.53,NA,412198000,NA
"176",NA,28.73,27.22,28.47,NA,413130000,NA
"177",NA,30.29,28.3,28.68,NA,427789000,NA
"178",NA,30.03,28.73,29.51,NA,432298000,NA
"179",NA,30.67,28.11,29.84,NA,411189000,NA
"180",NA,31.61,26.61,28.66,NA,439752000,NA
"181",NA,33.81,28.58,30.47,NA,482431000,NA
"182",NA,34.56,28.77,32.78,NA,417648000,NA
"183",NA,29.94,27.94,28.98,NA,410681000,NA
"184",NA,30.83,25.93,28.45,NA,376183000,NA
"185",NA,26.52,24.87,25.99,NA,362797000,NA
"186",NA,25.44,22.72,25.2,NA,331818000,NA
"187",NA,23.2,22.06,23.04,NA,327660000,NA
"188",NA,24.07,22.23,22.77,NA,341171000,NA
"189",NA,24.2,22.72,23.72,NA,326962000,NA
"190",NA,23.26,22.12,22.76,NA,321539000,NA
"191",NA,22.53,21.12,22.35,NA,304527000,NA
"192",NA,21.83,19.27,21.21,NA,279099000,NA
"193",NA,19.93,19.24,19.37,NA,282326000,NA
"194",NA,20.1,19.36,19.65,NA,281316000,NA
"195",NA,20.11,19.51,19.56,NA,283007000,NA
"196",NA,20.17,19.68,19.72,NA,288495000,NA
"197",NA,20.52,19.97,20.12,NA,290548000,NA
"198",NA,20.34,19.75,20.29,NA,286297000,NA
"199",NA,20.9,20.24,20.24,NA,292149000,NA
"200",NA,21.12,20.23,20.39,NA,301594000,NA
"201",NA,21.17,20.45,21.06,NA,293752000,NA
"202",NA,20.99,20.32,20.56,NA,292659000,NA
"203",NA,20.82,20.25,20.46,NA,296093000,NA
"204",NA,21.19,20.25,20.71,NA,291985000,NA
"205",NA,21.8,19.67,20.59,NA,306779000,NA
"206",NA,22.08,21.44,21.48,NA,309846000,NA
"207",NA,22.11,21.25,21.76,NA,304441000,NA
"208",NA,21.89,21.12,21.36,NA,311171000,NA
"209",NA,22.41,20.52,21.83,NA,295155000,NA
"210",NA,21.31,19.75,20.68,NA,297207000,NA
"211",NA,21.46,19,20.83,NA,275199000,NA
"212",NA,20.07,18.95,19.39,NA,275287000,NA
"213",NA,19.95,18.33,19.27,NA,278971000,NA
"214",NA,21.62,19.58,19.62,NA,303396000,NA
"215",NA,21.51,19.87,21.35,NA,289275000,NA
"216",NA,21.16,19.94,20.33,NA,286817000,NA
"217",NA,21.5,20.02,20.14,NA,304574000,NA
"218",NA,21.53,19.23,21.5,NA,291737000,NA
"219",NA,21.2,19.84,20.54,NA,295489000,NA
"220",NA,21.45,20.25,20.88,NA,299146000,NA
"221",NA,21.34,19.28,21.14,NA,282266000,NA
"222",NA,20.51,18.17,19.81,NA,276545000,NA
"223",NA,20.1,17.71,19.66,NA,280203000,NA
"224",NA,20.57,19.29,19.61,NA,285884000,NA
"225",NA,21.28,19.88,20.14,NA,298839000,NA
"226",NA,22.28,20.86,21.1,NA,309519000,NA
"227",NA,22.49,20.64,21.82,NA,303834000,NA
"228",NA,22.39,20.77,21.42,NA,302815000,NA
"229",NA,23.05,20.68,21.29,NA,320139000,NA
"230",NA,24.82,22.44,22.51,NA,329623000,NA
"231",NA,24.61,20.11,23.29,NA,284253000,NA
"232",NA,22.27,18.6,20.07,NA,314731000,NA
"233",NA,26.21,20.16,22.35,NA,318778000,NA
"234",NA,22.99,18.77,22.48,NA,268957000,NA
"235",NA,19.69,17.35,18.98,NA,251092000,NA
"236",NA,18.4,17.11,17.76,NA,255287000,NA
"237",NA,19.32,16.69,18.13,NA,236958000,NA
"238",NA,17.13,14.45,16.79,NA,207508000,NA
"239",NA,14.76,13.01,14.69,NA,184883000,NA
"240",NA,13.62,12.35,13.21,NA,183864000,NA
"241",NA,13.53,12.39,13.03,NA,175497000,NA
"242",NA,13.8,12.47,12.47,NA,190803000,NA
"243",NA,15.43,13.53,13.53,NA,217011000,NA
"244",NA,15.8,14.84,15.41,NA,214098000,NA
"245",NA,15.42,13.66,15.18,NA,192123000,NA
"246",NA,14.24,13.37,13.67,NA,195774000,NA
"247",NA,14.61,12.86,13.91,NA,183919000,NA
"248",NA,13.33,12.1,13.11,NA,172124000,NA
"249",NA,12.9,12.13,12.33,NA,172621000,NA
"250",NA,12.32,11.51,12.28,NA,168185000,NA
"251",NA,12.06,11.83,11.96,NA,166428000,NA
"252",NA,12.04,11.68,11.89,NA,165867000,NA
"253",NA,12.14,11.68,11.85,NA,167003000,NA
"254",NA,12.97,11.35,11.92,NA,180492000,NA
"255",NA,12.94,12.57,12.87,NA,178859000,NA
"256",NA,12.84,12.12,12.77,NA,171785000,NA
"257",NA,12.42,11.92,12.34,NA,169036000,NA
"258",NA,13.01,11.46,12.22,NA,181531000,NA
"259",NA,13.38,12.99,12.99,NA,186681000,NA
"260",NA,13.57,13.09,13.36,NA,186995000,NA
"261",NA,13.34,13.04,13.3,NA,182332000,NA
"262",NA,13.62,12.91,13.1,NA,189926000,NA
"263",NA,13.74,12.88,13.62,NA,181497000,NA
"264",NA,13.2,12.11,12.99,NA,170135000,NA
"265",NA,12.36,12.09,12.2,NA,171557000,NA
"266",NA,12.49,12,12.33,NA,170839000,NA
"267",NA,12.39,11.98,12.24,NA,166808000,NA
"268",NA,12.23,11.73,11.98,NA,169520000,NA
"269",NA,12.98,11.83,12.12,NA,178405000,NA
"270",NA,12.91,12.54,12.8,NA,176193000,NA
"271",NA,13.2,12.53,12.65,NA,179398000,NA
"272",NA,12.92,12.59,12.88,NA,178164000,NA
"273",NA,12.99,12.61,12.8,NA,175095000,NA
"274",NA,13.08,12.47,12.61,NA,178965000,NA
"275",NA,13.15,12.15,12.86,NA,182089000,NA
"276",NA,13.42,13.05,13.14,NA,184201000,NA
"277",NA,13.38,12.93,13.27,NA,179699000,NA
"278",NA,13.26,12.7,12.99,NA,175986000,NA
"279",NA,12.91,12.64,12.71,NA,175164000,NA
"280",NA,13.26,12.55,12.66,NA,177874000,NA
"281",NA,13.04,12.07,12.85,NA,167743000,NA
"282",NA,12.24,11.67,12.1,NA,165604000,NA
"283",NA,12.15,11.73,11.98,NA,163778000,NA
"284",NA,11.88,11.54,11.83,NA,163221000,NA
"285",NA,12.25,11.79,11.81,NA,169206000,NA
"286",NA,12.29,12.05,12.25,NA,168236000,NA
"287",NA,12.19,11.81,12.18,NA,165727000,NA
"288",NA,12.18,11.84,12.03,NA,164256000,NA
"289",NA,12.17,11.75,11.91,NA,167736000,NA
"290",NA,12.31,11.68,12.15,NA,166091000,NA
"291",NA,12.7,11.57,12.05,NA,171153000,NA
"292",NA,12.49,10.56,12.39,NA,147101000,NA
"293",NA,10.96,10.29,10.64,NA,148169000,NA
"294",NA,11.15,9.92,10.76,NA,152277000,NA
"295",NA,11.72,10.96,11.09,NA,155007000,NA
"296",NA,11.97,11.07,11.27,NA,162603000,NA
"297",NA,12.19,11.1,11.85,NA,158831000,NA
"298",NA,13.6,11.18,11.64,NA,183143000,NA
"299",NA,14.03,13.34,13.39,NA,187430000,NA
"300",NA,13.74,12.66,13.74,NA,184874000,NA
"301",NA,13.91,12.86,13.47,NA,178079000,NA
"302",NA,14.17,12.37,13.06,NA,192770000,NA
"303",NA,16.93,13.58,14.03,NA,221476000,NA
"304",NA,19.02,14.86,16.19,NA,253879000,NA
"305",NA,18.64,15.83,18.53,NA,220820000,NA
"306",NA,17.03,15,16.09,NA,219693000,NA
"307",NA,16.47,13.84,16.05,NA,192331000,NA
"308",NA,14.17,13.42,13.97,NA,188431000,NA
"309",NA,13.88,12.8,13.78,NA,177027000,NA
"310",NA,13.28,12.26,12.97,NA,178684000,NA
"311",NA,14.17,12.46,13.13,NA,192960000,NA
"312",NA,14.62,12.2,14.09,NA,1.71e+08,NA
"313",NA,13.05,10.25,12.69,NA,139913000,NA
"314",NA,10.29,9.7,10.27,NA,132352000,NA
"315",NA,9.8,9.49,9.73,NA,131445000,NA
"316",NA,9.77,9.48,9.65,NA,130752000,NA
"317",NA,9.79,8.89,9.55,NA,120963000,NA
"318",NA,9.49,8.3,8.9,NA,112882000,NA
"319",NA,8.62,8.26,8.28,NA,114871000,NA
"320",NA,8.7,8.39,8.43,NA,117248000,NA
"321",NA,8.77,8.39,8.63,NA,116756000,NA
"322",NA,8.83,8.31,8.61,NA,113063000,NA
"323",NA,8.53,8.25,8.32,NA,115014000,NA
"324",NA,8.54,8.39,8.51,NA,114291000,NA
"325",NA,8.55,8.26,8.42,NA,114274000,NA
"326",NA,8.59,8.11,8.41,NA,111468000,NA
"327",NA,8.14,7.97,8.11,NA,109172000,NA
"328",NA,8.06,7.83,8.05,NA,106974000,NA
"329",NA,8.09,7.74,7.91,NA,105063000,NA
"330",NA,8.03,7.67,7.78,NA,107380000,NA
"331",NA,8.07,7.79,7.95,NA,105361000,NA
"332",NA,8.03,7.73,7.79,NA,106218000,NA
"333",NA,8.01,7.32,7.89,NA,101729000,NA
"334",NA,7.96,7.16,7.54,NA,106599000,NA
"335",NA,8.15,7.68,7.91,NA,105539000,NA
"336",NA,8.42,7.8,7.8,NA,111297000,NA
"337",NA,8.56,8.09,8.27,NA,110596000,NA
"338",NA,8.5,7.92,8.23,NA,114407000,NA
"339",NA,9.13,8.36,8.58,NA,120142000,NA
"340",NA,9.31,7.21,8.95,NA,102540000,NA
"341",NA,7.99,7.48,7.6,NA,106266000,NA
"342",NA,8.08,7.78,7.89,NA,106354000,NA
"343",NA,8.12,7.59,7.93,NA,102503000,NA
"344",NA,7.81,7.4,7.62,NA,101260000,NA
"345",NA,7.8,7.33,7.54,NA,104451000,NA
"346",NA,8.37,7.58,7.81,NA,106374000,NA
"347",NA,8.11,7.56,7.91,NA,102688000,NA
"348",NA,8.24,6.78,7.69,NA,91147700,NA
"349",NA,6.88,6.56,6.8,NA,88051400,NA
"350",NA,6.88,6.43,6.58,NA,87683700,NA
"351",NA,6.86,6.46,6.55,NA,89815300,NA
"352",NA,7.1,6.53,6.72,NA,90440300,NA
"353",NA,6.97,6.22,6.79,NA,87494100,NA
"354",NA,7.47,6.12,6.58,NA,98031100,NA
"355",NA,7.92,7.2,7.3,NA,103302000,NA
"356",NA,8.13,7.09,7.71,NA,94853000,NA
"357",NA,8.11,6.97,7.1,NA,98823800,NA
"358",NA,7.68,6.63,7.44,NA,90900300,NA
"359",NA,6.98,5.89,6.78,NA,81900600,NA
"360",NA,6.48,6.01,6.1,NA,82319000,NA
"361",NA,6.54,5.58,6.19,NA,83854100,NA
"362",NA,6.82,5.72,6.32,NA,76635700,NA
"363",NA,5.85,4.92,5.74,NA,65964200,NA
"364",NA,5.03,4.88,4.97,NA,66184500,NA
"365",NA,5.02,4.82,5.02,NA,64117100,NA
"366",NA,5.12,4.7,4.85,NA,64488800,NA
"367",NA,5.27,4.51,4.89,NA,60240900,NA
"368",NA,5.01,4.38,4.51,NA,62649500,NA
"369",NA,5.24,4.56,4.71,NA,67571600,NA
"370",NA,5.61,4.84,5.12,NA,73317000,NA
"371",NA,5.7,4.81,5.57,NA,68011700,NA
"372",NA,5.84,4.28,5.14,NA,75631700,NA
"373",NA,6.35,5.63,5.73,NA,82158200,NA
"374",NA,6.38,5.99,6.21,NA,81425600,NA
"375",NA,6.21,5.82,6.17,NA,80429200,NA
"376",NA,6.43,5.77,6.09,NA,84707300,NA
"377",NA,6.61,6.41,6.42,NA,85860100,NA
"378",NA,6.69,6.45,6.51,NA,85978900,NA
"379",NA,6.81,6.24,6.52,NA,89371800,NA
"380",NA,6.91,6.43,6.78,NA,86682400,NA
"381",NA,7.2,6.48,6.56,NA,87199300,NA
"382",NA,7.13,6.49,6.62,NA,86328800,NA
"383",NA,6.79,6.08,6.57,NA,82636300,NA
"384",NA,6.41,5.7,6.28,NA,83992100,NA
"385",NA,6.63,6.12,6.38,NA,86233800,NA
"386",NA,6.93,6.45,6.56,NA,90768800,NA
"387",NA,7.18,6.83,6.92,NA,90958000,NA
"388",NA,7.31,6.78,6.91,NA,95353000,NA
"389",NA,7.62,7.17,7.31,NA,95343700,NA
"390",NA,7.74,6.6,7.28,NA,90612500,NA
"391",NA,7.59,6.78,6.94,NA,98958700,NA
"392",NA,7.69,6.89,7.48,NA,90201300,NA
"393",NA,7.18,6.62,6.88,NA,90046400,NA
"394",NA,7.67,6.56,6.89,NA,93848400,NA
"395",NA,7.29,6.37,7.18,NA,87617200,NA
"396",NA,7.66,6.13,6.76,NA,99903600,NA
"397",NA,8.12,7.45,7.65,NA,103654000,NA
"398",NA,8.55,7.82,7.95,NA,108330000,NA
"399",NA,8.48,7.32,8.3,NA,95507100,NA
"400",NA,8.42,7.17,7.36,NA,109642000,NA
"401",NA,8.66,7.99,8.41,NA,112519000,NA
"402",NA,9.41,8.32,8.71,NA,122202000,NA
"403",NA,9.5,9.19,9.4,NA,121268000,NA
"404",NA,9.6,9.18,9.31,NA,121546000,NA
"405",NA,10.36,9.14,9.4,NA,133099000,NA
"406",NA,10.7,10.19,10.24,NA,137720000,NA
"407",NA,11.03,10.63,10.63,NA,139964000,NA
"408",NA,11.01,10.03,10.77,NA,131137000,NA
"409",NA,10.59,9.96,10.16,NA,129022000,NA
"410",NA,11.25,9.78,9.92,NA,145554000,NA
"411",NA,11.69,10.32,11.15,NA,136312000,NA
"412",NA,10.85,9.07,10.56,NA,122199000,NA
"413",NA,9.78,9.25,9.45,NA,125247000,NA
"414",NA,9.82,8.82,9.68,NA,114672000,NA
"415",NA,9.83,8.75,8.91,NA,122577000,NA
"416",NA,10.53,9.33,9.41,NA,135811000,NA
"417",NA,10.96,10.31,10.51,NA,141326000,NA
"418",NA,11.36,9.85,10.88,NA,132131000,NA
"419",NA,11.01,9.97,10.03,NA,137198000,NA
"420",NA,12.41,10.53,10.69,NA,157714000,NA
"421",NA,12.58,11.98,12.23,NA,158606000,NA
"422",NA,13.63,12.08,12.43,NA,163301000,NA
"423",NA,13,11.54,12.74,NA,152961000,NA
"424",NA,12.88,11.1,11.83,NA,159649000,NA
"425",NA,14.19,11.99,12.46,NA,177509000,NA
"426",NA,14.26,12.58,13.96,NA,173999000,NA
"427",NA,13.87,10.41,13.39,NA,142653000,NA
"428",NA,15.04,9.9,10.59,NA,130422000,NA
"429",NA,10.61,7.82,10.21,NA,102027000,NA
"430",NA,8.84,7.85,8,NA,108975000,NA
"431",NA,8.86,7.49,8.58,NA,108774000,NA
"432",NA,9.17,7.95,8.49,NA,108444000,NA
"433",NA,10.69,8.07,8.5,NA,119391000,NA
"434",NA,9.51,5.09,9.51,NA,67611100,NA
"435",NA,5.3,4.21,5.3,NA,54133400,NA
"436",NA,4.62,4.09,4.18,NA,52650700,NA
