"","Date","Open","High","Low","Close","Volume","Market.Cap"
"1","Nov 08, 2017",61.11,64.06,60.79,62.57,349454000,3283270000
"2","Nov 07, 2017",54.99,63.81,54.99,61.3,402670000,2953400000
"3","Nov 06, 2017",54.76,56.17,53.95,55.17,133918000,2940380000
"4","Nov 05, 2017",55.03,55.48,54.63,54.75,84302000,2953940000
"5","Nov 04, 2017",56.22,56.37,54.94,55.04,83633100,3016940000
"6","Nov 03, 2017",54.58,56.29,54.28,56.18,150030000,2928260000
"7","Nov 02, 2017",53.56,55.28,50.85,54.74,221077000,2872910000
"8","Nov 01, 2017",55.74,55.74,53.18,53.18,112759000,2989140000
"9","Oct 31, 2017",56.37,56.79,55.72,55.75,99381100,3021830000
"10","Oct 30, 2017",56.84,58.55,56.24,56.39,129287000,3046410000
"11","Oct 29, 2017",54.67,57.75,54.49,57.11,138340000,2929280000
"12","Oct 28, 2017",55.38,56.13,54.57,54.69,71063200,2966700000
"13","Oct 27, 2017",55.67,56.25,55.15,55.33,78923100,2981330000
"14","Oct 26, 2017",56.47,57.15,55.28,55.74,81104700,3023150000
"15","Oct 25, 2017",55.95,56.58,54.09,56.49,114510000,2994670000
"16","Oct 24, 2017",54.96,59.1,53.29,55.96,199789000,2940790000
"17","Oct 23, 2017",56.77,56.77,52.87,54.92,177315000,3036830000
"18","Oct 22, 2017",58.27,58.65,56.44,56.81,96781400,3116350000
"19","Oct 21, 2017",60.3,60.52,56.83,58.2,139503000,3224150000
"20","Oct 20, 2017",59.81,61.88,58.56,60.33,150542000,3196870000
"21","Oct 19, 2017",60.82,61.29,58.71,59.74,160943000,3250090000
"22","Oct 18, 2017",59.59,61.75,53.79,60.73,283869000,3183230000
"23","Oct 17, 2017",64.67,64.7,58.85,59.48,205363000,3454040000
"24","Oct 16, 2017",65.72,66.34,62.69,64.62,200428000,3508860000
"25","Oct 15, 2017",64.13,70.09,62.55,65.47,453940000,3422800000
"26","Oct 14, 2017",59.41,66.19,58.6,63.95,313106000,3169870000
"27","Oct 13, 2017",60.55,60.96,55.84,59.43,357124000,3230160000
"28","Oct 12, 2017",50.89,60.11,50.87,60.11,341369000,2713870000
"29","Oct 11, 2017",50.75,51.14,50.32,50.89,57390100,2706060000
"30","Oct 10, 2017",50.15,51.67,49.86,50.72,90415500,2673460000
"31","Oct 09, 2017",53.08,53.39,48.47,50.16,152366000,2828800000
"32","Oct 08, 2017",52.49,54.51,52.26,53.14,100841000,2796640000
"33","Oct 07, 2017",52.14,52.75,51.64,52.58,51786200,2776920000
"34","Oct 06, 2017",51.64,52.6,51.53,52.12,59355900,2749460000
"35","Oct 05, 2017",51.4,51.87,50.44,51.67,69594400,2736260000
"36","Oct 04, 2017",52.28,53.05,50.83,51.4,77473400,2782460000
"37","Oct 03, 2017",53.39,53.59,51.59,52.35,88516100,2840540000
"38","Oct 02, 2017",54.55,54.78,53.26,53.38,95474600,2901270000
"39","Oct 01, 2017",55.14,55.16,53.63,54.54,100183000,2931740000
"40","Sep 30, 2017",52.63,55.23,52.62,55.14,131446000,2797460000
"41","Sep 29, 2017",54.11,54.16,50.42,52.62,186560000,2875460000
"42","Sep 28, 2017",56.21,56.67,53.41,54.09,202009000,2986370000
"43","Sep 27, 2017",51.58,56.54,51.58,56.28,220363000,2739380000
"44","Sep 26, 2017",51.69,53.7,51.08,51.55,173663000,2744540000
"45","Sep 25, 2017",47.62,52.44,47.57,51.58,208641000,2527830000
"46","Sep 24, 2017",49.25,49.27,47.52,47.62,82147100,2613620000
"47","Sep 23, 2017",48.16,49.79,46.69,49.27,142073000,2554900000
"48","Sep 22, 2017",46.65,49.09,45.19,48.09,218134000,2474380000
"49","Sep 21, 2017",51.66,52.31,45.67,46.61,229363000,2739370000
"50","Sep 20, 2017",52.74,53.83,51.25,51.73,160252000,2795880000
"51","Sep 19, 2017",55.68,55.88,51.05,52.84,286583000,2950880000
"52","Sep 18, 2017",48.53,55.61,48.53,55.53,408675000,2571070000
"53","Sep 17, 2017",48.23,49.88,45.12,48.49,245262000,2554450000
"54","Sep 16, 2017",48.13,52.83,46.46,48.26,562278000,2548580000
"55","Sep 15, 2017",41.69,50.65,32.03,48.21,1554340000,2206520000
"56","Sep 14, 2017",61.64,62.43,41.25,41.58,749714000,3261960000
"57","Sep 13, 2017",64.32,64.6,58.93,61.73,501522000,3402820000
"58","Sep 12, 2017",66.24,70.25,63.86,64.23,481218000,3503300000
"59","Sep 11, 2017",61.65,67.23,61.37,66.04,412076000,3259510000
"60","Sep 10, 2017",65.8,65.95,57.06,61.61,529848000,3478400000
"61","Sep 09, 2017",67.21,69.55,64.01,66.01,467895000,3551950000
"62","Sep 08, 2017",78.45,80.13,63.83,67.79,930673000,4144630000
"63","Sep 07, 2017",79.88,81.06,75.59,78.48,526829000,4218690000
"64","Sep 06, 2017",71.78,80.64,71.51,80.11,830718000,3789670000
"65","Sep 05, 2017",65.25,72.44,59.05,71.29,1016090000,3444150000
"66","Sep 04, 2017",76.73,76.73,61.24,65.21,922041000,4049140000
"67","Sep 03, 2017",78.98,82.83,73.61,76.84,675462000,4166600000
"68","Sep 02, 2017",85.83,92.07,72.23,79.02,1363990000,4526680000
"69","Sep 01, 2017",70.86,87.41,70.01,86.04,1551740000,3735870000
"70","Aug 31, 2017",64.16,72.28,64.04,71.06,633147000,3381750000
"71","Aug 30, 2017",63.16,64.21,60.9,64.17,240309000,3328240000
"72","Aug 29, 2017",62.39,63.29,61.26,63.17,294799000,3286610000
"73","Aug 28, 2017",61.36,64.92,59.87,62.36,556637000,3231200000
"74","Aug 27, 2017",51.8,64.44,51.64,61.16,890546000,2726990000
"75","Aug 26, 2017",51.17,52.26,50.45,51.75,126024000,2692560000
"76","Aug 25, 2017",50.17,52.13,49.84,51.18,157619000,2639490000
"77","Aug 24, 2017",52.82,53.28,50.19,50.19,391342000,2778190000
"78","Aug 23, 2017",46.71,54.78,46.48,53.25,447188000,2456090000
"79","Aug 22, 2017",47.9,47.9,45.48,46.73,163104000,2517440000
"80","Aug 21, 2017",46.19,48.75,45.62,47.94,207172000,2427130000
"81","Aug 20, 2017",45.38,47.55,44.75,46.23,138850000,2383680000
"82","Aug 19, 2017",47.05,47.08,43.78,45.48,155404000,2471190000
"83","Aug 18, 2017",43.9,47.86,43.59,47.28,293350000,2304770000
"84","Aug 17, 2017",44.18,44.83,43.78,43.91,104020000,2.318e+09
"85","Aug 16, 2017",43.37,45.06,42.57,44.15,120765000,2275660000
