"","Date","Open","High","Low","Close","Volume","Market.Cap"
"1","Nov 18, 2017",7697.21,7884.99,7463.44,7790.15,3667190000,1.28425e+11
"2","Nov 17, 2017",7853.57,8004.59,7561.09,7708.99,4651670000,1.31026e+11
"3","Nov 16, 2017",7323.24,7967.38,7176.58,7871.69,5123810000,1.22164e+11
"4","Nov 15, 2017",6634.76,7342.25,6634.76,7315.54,4200880000,1.10667e+11
"5","Nov 14, 2017",6561.48,6764.98,6461.75,6635.75,3197110000,1.09434e+11
"6","Nov 13, 2017",5938.25,6811.19,5844.29,6559.49,6263250000,9.9029e+10
"7","Nov 12, 2017",6295.45,6625.05,5519.01,5950.07,8957350000,1.0498e+11
"8","Nov 11, 2017",6618.61,6873.15,6204.22,6357.6,4908680000,1.10362e+11
"9","Nov 10, 2017",7173.73,7312,6436.87,6618.14,5208250000,1.19607e+11
"10","Nov 09, 2017",7446.83,7446.83,7101.52,7143.58,3226250000,1.24146e+11
"11","Nov 08, 2017",7141.38,7776.42,7114.02,7459.69,4602200000,1.19041e+11
"12","Nov 07, 2017",7023.1,7253.32,7023.1,7144.38,2326340000,1.17056e+11
"13","Nov 06, 2017",7403.22,7445.77,7007.31,7022.76,3111900000,1.23379e+11
"14","Nov 05, 2017",7404.52,7617.48,7333.19,7407.41,2380410000,1.23388e+11
"15","Nov 04, 2017",7164.48,7492.86,7031.28,7379.95,2483800000,1.19376e+11
"16","Nov 03, 2017",7087.53,7461.29,7002.94,7207.76,3369860000,1.18084e+11
"17","Nov 02, 2017",6777.77,7367.33,6758.72,7078.5,4653770000,1.1291e+11
"18","Nov 01, 2017",6440.97,6767.31,6377.88,6767.31,2870320000,1.07287e+11
"19","Oct 31, 2017",6132.02,6470.43,6103.33,6468.4,2311380000,1.0213e+11
"20","Oct 30, 2017",6114.85,6214.99,6040.85,6130.53,1772150000,1.01833e+11
"21","Oct 29, 2017",5754.44,6255.71,5724.58,6153.85,2859040000,95819800000
"22","Oct 28, 2017",5787.82,5876.72,5689.19,5753.09,1403920000,96369600000
"23","Oct 27, 2017",5899.74,5988.39,5728.82,5780.9,1710130000,98225400000
"24","Oct 26, 2017",5747.95,5976.8,5721.22,5904.83,1905040000,95685100000
"25","Oct 25, 2017",5524.6,5754.33,5397.88,5750.8,1966990000,91954200000
"26","Oct 24, 2017",5935.52,5935.52,5504.18,5526.64,2735700000,98781600000
"27","Oct 23, 2017",6006,6075.59,5732.47,5930.32,2401840000,99941600000
"28","Oct 22, 2017",6036.66,6076.26,5792.34,6008.42,2034630000,1.00438e+11
"29","Oct 21, 2017",5996.79,6194.88,5965.07,6031.6,2207100000,99763200000
"30","Oct 20, 2017",5708.11,6060.11,5627.23,6011.45,2354430000,94947900000
