"","Date","Open","High","Low","Close","Volume","Market.Cap"
"1",NA,334.96,327.52,332.39,NA,31620300000,NA
"2",NA,336.16,323.61,330.92,NA,31927300000,NA
"3",NA,340.91,329.81,333.36,NA,32353200000,NA
"4",NA,340.18,316.76,337.63,NA,30317300000,NA
"5",NA,328.42,307.02,316.72,NA,2.9379e+10,NA
"6",NA,319.15,298.51,307.91,NA,30106200000,NA
"7",NA,319.45,298.19,314.68,NA,28559400000,NA
"8",NA,324.72,294.54,299.25,NA,30665200000,NA
"9",NA,329.45,307.06,320.88,NA,2.9509e+10,NA
"10",NA,318.7,293.1,309.07,NA,28128700000,NA
"11",NA,304.84,290.77,294.66,NA,28533300000,NA
"12",NA,305.42,293.72,298.89,NA,28322700000,NA
"13",NA,301.37,295.12,296.26,NA,28661500000,NA
"14",NA,305.48,295.8,300.47,NA,29175300000,NA
"15",NA,308.31,287.69,305.71,NA,27547400000,NA
"16",NA,293.91,281.17,287.43,NA,27754200000,NA
"17",NA,306.4,290.58,291.69,NA,29183600000,NA
"18",NA,310.55,305.88,305.88,NA,29331500000,NA
"19",NA,310.5,304.35,307.75,NA,29077600000,NA
"20",NA,313.75,296.38,305.09,NA,28270200000,NA
"21",NA,300.36,293.58,296.3,NA,28410400000,NA
"22",NA,299.26,294.06,297.42,NA,28270100000,NA
"23",NA,301.07,295.22,296.53,NA,28408400000,NA
"24",NA,301.85,290.72,297.93,NA,2.8442e+10,NA
"25",NA,311.96,282.66,298.33,NA,27357500000,NA
"26",NA,295.75,277.57,286.95,NA,28111400000,NA
"27",NA,305.5,292.81,295.45,NA,28624800000,NA
"28",NA,303.93,291.77,300.19,NA,28906600000,NA
"29",NA,311.44,303.49,304.01,NA,29326300000,NA
"30",NA,316.71,305.83,308.09,NA,29937900000,NA
"31",NA,317.24,290.64,314.32,NA,30160500000,NA
"32",NA,333.48,311.79,317.08,NA,31727700000,NA
"33",NA,349.35,332.04,333.38,NA,32029200000,NA
"34",NA,342.72,320.43,336.6,NA,32292100000,NA
"35",NA,347.98,334.7,339.63,NA,32222400000,NA
"36",NA,348.6,299.66,338.76,NA,28911100000,NA
"37",NA,309.15,303.29,304.14,NA,28851200000,NA
"38",NA,304.39,299.1,303.46,NA,28626300000,NA
"39",NA,306.15,293.17,299.87,NA,28281400000,NA
"40",NA,309.31,288.19,297.39,NA,29328300000,NA
"41",NA,312.54,308.03,308.61,NA,29550900000,NA
"42",NA,313.13,304.98,311.12,NA,29340400000,NA
"43",NA,308.84,294.95,308.59,NA,28031100000,NA
"44",NA,298.04,288.84,295.86,NA,27800400000,NA
"45",NA,299.39,290.89,292.66,NA,27794100000,NA
"46",NA,300.11,288.13,292.46,NA,28238500000,NA
"47",NA,302.92,294.58,297.48,NA,28708500000,NA
"48",NA,303.19,295.06,302.34,NA,28615200000,NA
"49",NA,303.96,291.11,301.46,NA,27655200000,NA
"50",NA,299.92,279.77,291.47,NA,28375900000,NA
"51",NA,307.2,295.47,299.15,NA,29068700000,NA
"52",NA,308.01,286.82,306.47,NA,27219400000,NA
"53",NA,293.75,287.02,287.44,NA,2.772e+10,NA
"54",NA,293.51,281.88,292.33,NA,26755500000,NA
"55",NA,292.95,278.13,282.48,NA,27129900000,NA
"56",NA,286.17,261.12,286.17,NA,25077100000,NA
"57",NA,270.54,256.22,264.31,NA,24458400000,NA
"58",NA,286.61,255.02,258.58,NA,2.6836e+10,NA
"59",NA,290.89,278.05,283.74,NA,26712400000,NA
"60",NA,295.77,274.48,282.8,NA,27809300000,NA
"61",NA,293.5,252.23,293.5,NA,23881200000,NA
"62",NA,257,235.24,251.75,NA,23272500000,NA
"63",NA,262.59,238.22,246.52,NA,23742600000,NA
"64",NA,258.65,195.03,250.46,NA,20364900000,NA
"65",NA,280.84,213.91,213.91,NA,26166100000,NA
"66",NA,291.12,260.61,277.11,NA,27535700000,NA
"67",NA,311.19,287.23,291.46,NA,27861800000,NA
"68",NA,300.69,286.69,294.53,NA,27394400000,NA
"69",NA,294.76,268.97,288.75,NA,27797200000,NA
"70",NA,299.89,287.22,294.4,NA,27990500000,NA
"71",NA,329.64,285.16,296.5,NA,31147200000,NA
"72",NA,333.52,319.94,329.43,NA,31507500000,NA
"73",NA,334.66,313.49,334.34,NA,29639100000,NA
"74",NA,318.57,268.29,312.99,NA,2.81e+10,NA
"75",NA,347.13,279.94,295.17,NA,3.2774e+10,NA
"76",NA,366.49,332.23,347.48,NA,33059800000,NA
"77",NA,389.35,328.1,348.98,NA,36601200000,NA
"78",NA,390.04,383.47,387.74,NA,36182900000,NA
"79",NA,386.14,376.35,383.04,NA,35701500000,NA
"80",NA,388.75,361.97,378.49,NA,34848400000,NA
"81",NA,373.76,347.79,370.67,NA,32813200000,NA
"82",NA,352.05,338.41,347.75,NA,33002700000,NA
"83",NA,347.89,334.36,347.89,NA,31517500000,NA
"84",NA,334.99,327.92,333.88,NA,31288300000,NA
"85",NA,336.4,325.8,331.92,NA,30727900000,NA
"86",NA,327.96,317.08,325.61,NA,29904600000,NA
"87",NA,324.21,314.54,317.52,NA,29691900000,NA
"88",NA,327.36,297.91,314.79,NA,30229900000,NA
"89",NA,347.05,297.23,321.59,NA,28285500000,NA
"90",NA,301.43,291.58,301.43,NA,27918100000,NA
"91",NA,301.67,286.18,297.47,NA,27867900000,NA
"92",NA,307.96,292.5,295.59,NA,28380200000,NA
"93",NA,311.03,300.25,301.46,NA,28477500000,NA
"94",NA,303.41,285.38,302.27,NA,27249700000,NA
"95",NA,300.41,279.33,289.82,NA,28195800000,NA
"96",NA,306.81,296.41,300.1,NA,28008700000,NA
"97",NA,310.82,289.31,298.06,NA,29161100000,NA
"98",NA,317.56,307.9,310.6,NA,28998700000,NA
"99",NA,309.21,294.5,308.86,NA,2.7657e+10,NA
"100",NA,306.59,289.93,295.89,NA,27882200000,NA
"101",NA,318.72,276.69,296.03,NA,27938700000,NA
"102",NA,298.91,266.8,296.77,NA,25254600000,NA
"103",NA,271.96,256.69,269.18,NA,2.4511e+10,NA
"104",NA,271.05,252.85,261.57,NA,24053500000,NA
"105",NA,256.51,221.95,256.51,NA,2.09e+10,NA
"106",NA,227.62,222.06,223.07,NA,21125600000,NA
"107",NA,228.29,219.89,225.34,NA,20640100000,NA
"108",NA,229.51,218.12,219.95,NA,21275200000,NA
"109",NA,227.74,204.69,226.77,NA,19179100000,NA
"110",NA,203.87,193.41,203.87,NA,1.8492e+10,NA
"111",NA,208.54,196.15,197.98,NA,19360900000,NA
"112",NA,208.68,179.65,205.79,NA,18101800000,NA
"113",NA,204.9,192.3,193.12,NA,19125100000,NA
"114",NA,206.44,201.26,204.32,NA,19169800000,NA
"115",NA,210.77,194.78,203.95,NA,19373400000,NA
"116",NA,225.32,195.84,206.71,NA,20985200000,NA
"117",NA,227.54,222.45,224.71,NA,21158500000,NA
"118",NA,231.68,217.72,225.95,NA,21418300000,NA
"119",NA,232.7,216.87,229.48,NA,20360100000,NA
"120",NA,235.12,213.01,218.31,NA,21121100000,NA
"121",NA,233.9,203.22,227.26,NA,19187800000,NA
"122",NA,245.65,191.75,199.7,NA,21939300000,NA
"123",NA,267.99,182.06,234.39,NA,18207400000,NA
"124",NA,194.75,158.04,193.42,NA,14932700000,NA
"125",NA,172.01,133.72,157.36,NA,15823100000,NA
"126",NA,200.16,170.66,170.66,NA,18630200000,NA
"127",NA,211.1,187.37,199.66,NA,19541300000,NA
"128",NA,231.81,200.06,209.73,NA,21613900000,NA
"129",NA,230.77,189.59,230.77,NA,18377600000,NA
"130",NA,220.29,183.39,197.4,NA,19712300000,NA
"131",NA,243.07,196.97,215.36,NA,22640500000,NA
"132",NA,255.1,242.14,242.14,NA,23454700000,NA
"133",NA,273.48,236.55,251.7,NA,22890700000,NA
"134",NA,273.94,244.17,245.99,NA,25160800000,NA
"135",NA,278.48,265.51,270.55,NA,25019500000,NA
"136",NA,275.13,261.45,268.77,NA,25406900000,NA
"137",NA,287.39,273.11,273.3,NA,2.6245e+10,NA
"138",NA,291.1,281.18,282.9,NA,26815900000,NA
"139",NA,295.51,262.52,287.99,NA,25572800000,NA
