"","Date","Open","High","Low","Close","Volume","Market.Cap"
"1","High",NA,NA,NA,NA,NA,NA
"2","Nov 18, 2017",0.226547,0.230399,0.222399,0.228627,144298000,8749900000
"3","Nov 17, 2017",0.224768,0.239409,0.220273,0.226581,397071000,8681190000
"4","Nov 16, 2017",0.212655,0.27179,0.209287,0.227107,1022580000,8213360000
"5","Nov 15, 2017",0.208937,0.213105,0.208058,0.212956,100294000,8069730000
"6","Nov 14, 2017",0.203679,0.213693,0.203679,0.209825,127361000,7866670000
"7","Nov 13, 2017",0.197472,0.204081,0.197456,0.203442,132567000,7608890000
"8","Nov 12, 2017",0.210214,0.210214,0.195389,0.197339,251175000,8099860000
"9","Nov 11, 2017",0.205948,0.214456,0.205459,0.21043,134503000,7935490000
"10","Nov 10, 2017",0.218256,0.219068,0.20526,0.206483,141033000,8409740000
"11","Nov 09, 2017",0.217911,0.221791,0.214866,0.217488,147917000,8396440000
"12","Nov 08, 2017",0.210675,0.221458,0.20806,0.217437,156959000,8117620000
"13","Nov 07, 2017",0.205103,0.211375,0.203978,0.210354,114073000,7902920000
"14","Nov 06, 2017",0.201967,0.208662,0.20141,0.20599,102233000,7782080000
"15","Nov 05, 2017",0.203274,0.205124,0.201117,0.202055,46959000,7832450000
"16","Nov 04, 2017",0.208083,0.208479,0.202133,0.20375,74013200,8017770000
"17","Nov 03, 2017",0.206205,0.228026,0.201728,0.208133,373402000,7945410000
"18","Nov 02, 2017",0.194596,0.211848,0.183815,0.205861,197770000,7498090000
"19","Nov 01, 2017",0.200247,0.201501,0.193613,0.194124,67921000,7715840000
"20","Oct 31, 2017",0.202405,0.203778,0.200461,0.200558,43875700,7798990000
"21","Oct 30, 2017",0.203076,0.204135,0.201946,0.202711,34835100,7824820000
"22","Oct 29, 2017",0.201358,0.205209,0.200075,0.202785,62511100,7758640000
"23","Oct 28, 2017",0.202592,0.203476,0.201401,0.201835,26864900,7806200000
"24","Oct 27, 2017",0.203668,0.204492,0.201771,0.202785,29623000,7847650000
"25","Oct 26, 2017",0.204444,0.206289,0.20266,0.203628,38193100,7877530000
"26","Oct 25, 2017",0.207113,0.208237,0.201803,0.204604,75017500,7980370000
"27","Oct 24, 2017",0.195567,0.217508,0.190455,0.206644,220081000,7535480000
"28","Oct 23, 2017",0.203504,0.203919,0.190729,0.196928,99914800,7841330000
"29","Oct 22, 2017",0.210958,0.211901,0.200722,0.204177,75849500,8128520000
"30","Oct 21, 2017",0.210189,0.212381,0.200774,0.211016,116807000,8098920000
"31","Oct 20, 2017",0.215086,0.223822,0.208754,0.210549,182704000,8287600000
"32","Oct 19, 2017",0.218229,0.23179,0.208317,0.21515,304542000,8408710000
"33","Oct 18, 2017",0.231216,0.23815,0.207265,0.21852,354225000,8909100000
"34","Oct 17, 2017",0.256098,0.263147,0.222939,0.232064,411265000,9867860000
"35","Oct 16, 2017",0.263386,0.291359,0.24901,0.256232,963158000,10148700000
"36","Oct 15, 2017",0.257537,0.268419,0.249048,0.263983,280211000,9923310000
"37","Oct 14, 2017",0.26115,0.267721,0.25732,0.25732,211160000,10062500000
"38","Oct 13, 2017",0.248285,0.26425,0.238867,0.260489,398689000,9583920000
"39","Oct 12, 2017",0.265046,0.267468,0.248414,0.248414,245004000,10230900000
"40","Oct 11, 2017",0.260658,0.267843,0.25908,0.264439,161206000,10061500000
"41","Oct 10, 2017",0.252825,0.26656,0.241193,0.260733,384049000,9758310000
"42","Oct 09, 2017",0.278758,0.278758,0.24043,0.251825,610110000,10759300000
"43","Oct 08, 2017",0.238312,0.279944,0.237532,0.279944,529838000,9198180000
"44","Oct 07, 2017",0.233963,0.239336,0.233478,0.23861,77950200,9030320000
"45","Oct 06, 2017",0.237726,0.242424,0.233533,0.234039,167492000,9115310000
"46","Oct 05, 2017",0.215583,0.241023,0.215583,0.237016,404299000,8266280000
"47","Oct 04, 2017",0.203218,0.217024,0.202647,0.214774,123573000,7792170000
"48","Oct 03, 2017",0.203209,0.204808,0.19873,0.203318,48703100,7791820000
"49","Oct 02, 2017",0.206077,0.206556,0.199444,0.202676,77412300,7901790000
"50","Oct 01, 2017",0.197622,0.207185,0.19617,0.206532,51345500,7577590000
"51","Sep 30, 2017",0.193824,0.199826,0.193497,0.197529,54729300,7431970000
"52","Sep 29, 2017",0.196105,0.196203,0.187172,0.193606,72291200,7519420000
"53","Sep 28, 2017",0.202532,0.203271,0.191344,0.196131,117962000,7765860000
"54","Sep 27, 2017",0.185297,0.207687,0.185098,0.203299,249934000,7105010000
"55","Sep 26, 2017",0.181968,0.191247,0.180085,0.186119,70000700,6977340000
"56","Sep 25, 2017",0.175519,0.183665,0.174939,0.181487,35622600,6730080000
"57","Sep 24, 2017",0.178175,0.178939,0.174165,0.175787,20566500,6831900000
"58","Sep 23, 2017",0.173371,0.178672,0.171527,0.177882,32476700,6647700000
"59","Sep 22, 2017",0.171567,0.17587,0.169291,0.17351,37244700,6578530000
"60","Sep 21, 2017",0.180981,0.182109,0.171148,0.171754,43583200,6939500000
"61","Sep 20, 2017",0.18371,0.186229,0.180333,0.182078,34521600,7044160000
"62","Sep 19, 2017",0.189819,0.19068,0.181334,0.184041,54046100,7278390000
"63","Sep 18, 2017",0.178309,0.190019,0.178309,0.189768,88397900,6837060000
"64","Sep 17, 2017",0.178377,0.181121,0.171017,0.178393,49161100,6839640000
"65","Sep 16, 2017",0.181925,0.187417,0.172279,0.179082,84495200,6975690000
"66","Sep 15, 2017",0.165035,0.189184,0.150973,0.181358,289414000,6328090000
"67","Sep 14, 2017",0.200427,0.20201,0.164167,0.164167,152533000,7685140000
"68","Sep 13, 2017",0.20963,0.209674,0.196179,0.200778,105471000,8038030000
"69","Sep 12, 2017",0.21486,0.220623,0.207608,0.209303,94519500,8238550000
"70","Sep 11, 2017",0.212513,0.220057,0.210353,0.214441,138339000,8148560000
"71","Sep 10, 2017",0.209606,0.216529,0.197605,0.213031,117091000,8037080000
"72","Sep 09, 2017",0.211293,0.211892,0.206395,0.209995,51185500,8101800000
"73","Sep 08, 2017",0.223615,0.224308,0.206103,0.211518,151329000,8574260000
"74","Sep 07, 2017",0.226382,0.22721,0.219618,0.22364,103080000,8680360000
"75","Sep 06, 2017",0.214951,0.22686,0.214805,0.226186,163297000,8242060000
"76","Sep 05, 2017",0.20511,0.218674,0.190232,0.215189,242636000,7864700000
"77","Sep 04, 2017",0.228781,0.228781,0.19596,0.204968,239613000,8772340000
"78","Sep 03, 2017",0.227229,0.236443,0.218662,0.228811,186526000,8712840000
"79","Sep 02, 2017",0.249348,0.24968,0.217774,0.226669,329928000,9560940000
"80","Sep 01, 2017",0.255803,0.256162,0.243833,0.248479,283576000,9808460000
"81","Aug 31, 2017",0.227558,0.261038,0.225907,0.25563,432574000,8725450000
"82","Aug 30, 2017",0.218871,0.229805,0.217476,0.228006,181186000,8392340000
"83","Aug 29, 2017",0.224026,0.225926,0.214867,0.218564,269770000,8.59e+09
"84","Aug 28, 2017",0.203425,0.23626,0.19661,0.224508,542468000,7800090000
"85","Aug 27, 2017",0.212617,0.212617,0.197717,0.202995,193971000,8152540000
"86","Aug 26, 2017",0.218256,0.229086,0.210324,0.212577,184121000,8368790000
"87","Aug 25, 2017",0.2172,0.232184,0.203022,0.217828,504484000,8328300000
"88","Aug 24, 2017",0.252371,0.288783,0.212543,0.218958,1342360000,9676890000
"89","Aug 23, 2017",0.240987,0.297662,0.219992,0.246827,1770400000,9240380000
"90","Aug 22, 2017",0.194971,0.254659,0.171483,0.239286,1450040000,7475950000
"91","Aug 21, 2017",0.15841,0.205684,0.154856,0.191918,447089000,6074040000
"92","Aug 20, 2017",0.154569,0.161205,0.153432,0.158735,68542800,5926770000
"93","Aug 19, 2017",0.159553,0.162348,0.152305,0.155057,87062100,6117890000
"94","Aug 18, 2017",0.157117,0.168716,0.154162,0.158883,146539000,6024470000
"95","Aug 17, 2017",0.160787,0.161001,0.155909,0.157498,56084300,6165190000
"96","Aug 16, 2017",0.161238,0.161726,0.153087,0.160431,107920000,6182490000
"97","Aug 15, 2017",0.16979,0.16979,0.158244,0.161221,100614000,6510400000
"98","Aug 14, 2017",0.168376,0.180054,0.165289,0.169991,84388300,6457680000
"99","Aug 13, 2017",0.173545,0.174147,0.162625,0.168092,110199000,6655930000
"100","Aug 12, 2017",0.179221,0.182599,0.173242,0.173853,65229300,6873590000
"101","Aug 11, 2017",0.180175,0.182631,0.177627,0.179307,54059700,6910180000
"102","Aug 10, 2017",0.183168,0.1835,0.180013,0.180399,48162800,7023380000
"103","Aug 09, 2017",0.192527,0.192914,0.180629,0.182947,97805400,7382220000
"104","Aug 08, 2017",0.179602,0.194391,0.178487,0.192586,180028000,6886620000
"105","Aug 07, 2017",0.179716,0.181847,0.177605,0.179021,58052100,6891020000
"106","Aug 06, 2017",0.185398,0.189486,0.180298,0.180444,74161600,7108860000
"107","Aug 05, 2017",0.173865,0.187844,0.173267,0.184737,114270000,6666640000
